ID,SMILES,Name,HOMO,LUMO,Voc (V),Jsc (mA cm^2),FF,PCE(%),ref
16,CCCCCCC(CC1=CC2=C(C(C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC(F)=C(S7)CC(CCCC)CC)=C5S4)C=CS6)C8=CC(F)=C(S8)CC(CCCC)CC)=C9C=C(SC9=C2C%10=CC=CS%10)CC(CCCCCC)CCCC)S1)CCCC,PvBDT-F,-4.34,-2.16,0.86,13.87,49.2,5.89,"M. Zhang, X. Xu, L. Yu, Q. Peng, Efficient wide-band-gap copolymer donors for organic solar cells with perpendicularly placed benzodithiophene units. Journal of Power Sources. 499, 229961 (2021)."
17,CCCCCCCCC1=CSC(C2=C(C=C(S2)C3=CC(CCCCCCCC)=C(S3)C4=CC5=C(C6=C(C(C7=CC(F)=C(S7)C(CCCC)CC)=C5S4)C=CS6)C8=CC(F)=C(S8)C(CCCC)CC)C#N)=C1,PBCT-2F,-5.58,-3.66,0.85,27.2,74.3,17.1,"X. Yuan, Y. Zhao, T. Zhan, J. Oh, J. Zhou, J. Li, X. Wang, Z. Wang, S. Pang, P. Cai, C. Yang, Z. He, Z. Xie, C. Duan, F. Huang, Y. Cao, A donor polymer based on 3-cyanothiophene with superior batch-to-batch reproducibility for high-efficiency organic solar cells. Energy Environ. Sci. 14, 5530每5540 (2021)."
18,CCCCCCC(CC1=CSC(C2=CC3=C(C4=C(C5=NSN=C53)C=C(S4)C6=CC(CC(CCCCCC)CCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(F)=C(N%10)CC(CCCC)CC)=C8S7)C=CS9)C%11=CC(F)=C(S%11)CC(CCCC)CC)S2)=C1)CCCC,D18,-5.44,-3.47,0.85,25.81,78.61,17.21,"A. Zeng, X. Ma, M. Pan, Y. Chen, R. Ma, H. Zhao, J. Zhang, H. K. Kim, A. Shang, S. Luo, I. C. Angunawela, Y. Chang, Z. Qi, H. Sun, J. Y. L. Lai, H. Ade, W. Ma, F. Zhang, H. Yan, A Chlorinated Donor Polymer Achieving High-Performance Organic Solar Cells with a Wide Range of Polymer Molecular Weight. Advanced Functional Materials. 31, 2102413 (2021)."
19,CCCCCCC(CC1=CSC(C2=CC3=C(C4=C(C5=NSN=C53)C=C(S4)C6=CC(CC(CCCCCC)CCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(Cl)=C(N%10)CC(CCCC)CC)=C8S7)C=CS9)C%11=CC(Cl)=C(S%11)CC(CCCC)CC)S2)=C1)CCCC,D18-Cl,-5.46,-3.49,0.87,26.83,76.97,17.97,"A. Zeng, X. Ma, M. Pan, Y. Chen, R. Ma, H. Zhao, J. Zhang, H. K. Kim, A. Shang, S. Luo, I. C. Angunawela, Y. Chang, Z. Qi, H. Sun, J. Y. L. Lai, H. Ade, W. Ma, F. Zhang, H. Yan, A Chlorinated Donor Polymer Achieving High-Performance Organic Solar Cells with a Wide Range of Polymer Molecular Weight. Advanced Functional Materials. 31, 2102413 (2021)."
20,CCCCCCCCC(CN1N=C2C(C(C3=CC=C(S3)C4=CC5=C(C(C6=CC(Cl)=C(S6)CC(CCCC)CC)=C7C=CSC7=C5C8=CC(Cl)=C(S8)CC(CCCC)CC)S4)=C(C(O)=C2C9=CC=CS9)O)=N1)CCCCCC,J52-CL,-5.46,-3.58,1.21,11.36,62.86,8.64,"T. Dai, P. Lei, B. Zhang, A. Tang, Y. Geng, Q. Zeng, E. Zhou, Fabrication of High VOC Organic Solar Cells with a Non-Halogenated Solvent and the Effect of Substituted Groups for ※Same-A-Strategy§ Material Combinations. ACS Appl. Mater. Interfaces. 13, 21556每21564 (2021)."
21,CCCCCCCCC(CN1N=C2C(C3=CC=CS3)=CC=C(C2=N1)C4=CC=C(S4)C5=CC6=C(C(C7=CC(Cl)=C(S7)CC(CCCC)CC)=C8C=CSC8=C6C9=CC(Cl)=C(S9)CC(CCCC)CC)S5)CCCCCC,PE31,-5.35,-3.54,1.11,13.68,66.4,10.08,"T. Dai, P. Lei, B. Zhang, A. Tang, Y. Geng, Q. Zeng, E. Zhou, Fabrication of High VOC Organic Solar Cells with a Non-Halogenated Solvent and the Effect of Substituted Groups for ※Same-A-Strategy§ Material Combinations. ACS Appl. Mater. Interfaces. 13, 21556每21564 (2021)."
22,CCCCCCCCC(CN1N=C2C(C(C3=CC=C(S3)C4=CC5=C(C(C6=CC(Cl)=C(S6)CC(CCCC)CC)=C7C=CSC7=C5C8=CC(Cl)=C(S8)CC(CCCC)CC)S4)=C(C(OC)=C2C9=CC=CS9)OC)=N1)CCCCCC,PE32,-5.22,-3.3,1.1,11.65,57.73,7.4,"T. Dai, P. Lei, B. Zhang, A. Tang, Y. Geng, Q. Zeng, E. Zhou, Fabrication of High VOC Organic Solar Cells with a Non-Halogenated Solvent and the Effect of Substituted Groups for ※Same-A-Strategy§ Material Combinations. ACS Appl. Mater. Interfaces. 13, 21556每21564 (2021)."
23,CCCCCCCCC(CN1N=C2C(C(C3=CC=C(S3)C4=CC5=C(C(C6=CC(Cl)=C(S6)CC(CCCC)CC)=C7C=CSC7=C5C8=CC(Cl)=C(S8)CC(CCCC)CC)S4)=C(C(O)=C2C9=CC=CS9)O)=N1)CCCCCC,PE33,-5.42,-3.55,1.16,12.68,61.13,8.99,"T. Dai, P. Lei, B. Zhang, A. Tang, Y. Geng, Q. Zeng, E. Zhou, Fabrication of High VOC Organic Solar Cells with a Non-Halogenated Solvent and the Effect of Substituted Groups for ※Same-A-Strategy§ Material Combinations. ACS Appl. Mater. Interfaces. 13, 21556每21564 (2021)."
24,CCCCC(CC1=C(C=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC(F)=C(S5)C(CCCC)CC)C6=C(C=C(S6)C7=C8C(C9=C(SC(C(CCCC)CC)=C9C(C8=C(S7)C%10=CC(F)=CS%10)=O)C(CCCC)CC)=O)F)F)CC,PM6F,-5.66,-3.88,0.9,16.1,67,9.7,"Q. Guo, J. Lin, X. Dong, L. Zhu, X. Guo, F. Liu, M. Zhang, Optimized molecular aggregation via incorporating fluorinated unit in the polymer donor for 17.3% efficiency organic solar cells. Chemical Engineering Journal, 134117 (2021)."
25,CCCCCCCCCCC(COC(C1=C(N=CC(C2=CC=CS2)=N1)C3=CC=C(S3)C4=CC5=C(C(C6=CC(F)=C(S6)CC(CCCC)CC)=C7C=CSC7=C5C8=CC(F)=C(S8)CC(CCC)CC)S4)=O)CCCCCCCC,PFBCPZ,-5.6,-3.52,0.92,21.2,78.5,15.3,"J. Wu, Q. Fan, M. Xiong, Q. Wang, K. Chen, H. Liu, M. Gao, L. Ye, X. Guo, J. Fang, Q. Guo, W. Su, Z. Ma, Z. Tang, E. Wang, H. Ade, M. Zhang, Carboxylate substituted pyrazine: A simple and low-cost building block for novel wide bandgap polymer donor enables 15.3% efficiency in organic solar cells. Nano Energy. 82, 105679 (2021)."
26,CCCCCCCCC1=CSC2=C1SC(C3=C4C(N(C(C4=C(S3)C5=CC6=C(C(CCCCCCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(Cl)=C(S%10)CC(CCCC)CC)=C8S7)C=CS9)C%11=CC(Cl)=C(S%11)CC(CCCC)CC)S5)=O)CC(CCCCCCCC)CCCCCC)=O)=C2,PClBDT-8ttTPD,-5.46,-3.57,0.84,24.99,72,15.05,"J.-W. Ha, C. E. Song, H. S. Kim, D. H. Ryu, W. S. Shin, D.-H. Hwang, Highly Efficient and Photostable Ternary Organic Solar Cells Enabled by the Combination of Non-Fullerene and Fullerene Acceptors with Thienopyrrolodione-based Polymer Donors. ACS Appl. Mater. Interfaces. 12, 51699每51708 (2020)."
27,CCCCCCCCC1=CSC2=C1SC(C3=C4C(N(C(C4=C(S3)C5=CC6=C(C(CCCCCCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(F)=C(S%10)CC(CCCC)CC)=C8S7)C=CS9)C%11=CC(F)=C(S%11)CC(CCCC)CC)S5)=O)CC(CCCCCCCC)CCCCCC)=O)=C2,PFBDT-8ttTPD,-5.33,-3.43,0.89,19.91,72,12.81,"J.-W. Ha, C. E. Song, H. S. Kim, D. H. Ryu, W. S. Shin, D.-H. Hwang, Highly Efficient and Photostable Ternary Organic Solar Cells Enabled by the Combination of Non-Fullerene and Fullerene Acceptors with Thienopyrrolodione-based Polymer Donors. ACS Appl. Mater. Interfaces. 12, 51699每51708 (2020)."
28,CCCCC(SC1=C(C=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC(F)=C(S5)SC(CCCC)CC)C6=CC=C(S6)C7=C8C(C9=C(SC(C(CCCC)CC)=C9C(C8=C(S7)C%10=CC=CS%10)=O)C(CCCC)CC)=O)F)CC,PBDB-T-SF,-5.4,-3.6,0.88,20.5,71.9,13.1,"W. Zhao, S. Li, H. Yao, S. Zhang, Y. Zhang, B. Yang, J. Hou, Molecular Optimization Enables over 13% Efficiency in Organic Solar Cells. J. Am. Chem. Soc. 139, 7148每7151 (2017)."
29,CCCCCCCCC(CC1=CSC(C2=CC(CC(CCCCCCCC)CCCCCC)=C(S2)C3=CC(F)=C(S3)C4=C(C=CS4)F)=C1)CCCCCC,P4T2F-HD,-5.35,-3.43,0.73,21.63,73.6,11.62,"J. Xiao, X. Jia, C. Duan, F. Huang, H.-L. Yip, Y. Cao, Surpassing 13% Efficiency for Polythiophene Organic Solar Cells Processed from Nonhalogenated Solvent. Advanced Materials. 33, 2008158 (2021)."
30,CCCCCCCCC(COC1=NC2=C(C(C3=CC=CS3)=C(C(F)=C2C)F)N=C1C)CCCCCC,PTQ11,-5.52,-2.76,0.88,24.79,74.8,16.32,"C. Sun, S. Qin, R. Wang, S. Chen, F. Pan, B. Qiu, Z. Shang, L. Meng, C. Zhang, M. Xiao, C. Yang, Y. Li, High Efficiency Polymer Solar Cells with Efficient Hole Transfer at Zero Highest Occupied Molecular Orbital Offset between Methylated Polymer Donor and Brominated Acceptor. J. Am. Chem. Soc. 142, 1465每1474 (2020)."
31,CCCCCCCCC(COC1=NC2=C(C(C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC(F)=C(S7)CC(CCCC)CC)=C5S4)C=CS6)C8=CC(F)=C(S8)CC(CCCC)CC)=C(C(F)=C2C9=CC=CS9)F)N=C1)CCCCCC,PBQ510,-5.47,-2.89,0.85,25.77,74.6,16.34,"C. Sun, F. Pan, B. Qiu, S. Qin, S. Chen, Z. Shang, L. Meng, C. Yang, Y. Li, D每A Copolymer Donor Based on Bithienyl Benzodithiophene D-Unit and Monoalkoxy Bifluoroquinoxaline A-Unit for High-Performance Polymer Solar Cells. Chem. Mater. 32, 3254每3261 (2020)."
32,CCCCCCCCOC1=CC=CC(C2=NC3=C(C(C4=CC=C(S4)C5=CC6=C(C7=C(C(C8=CC(F)=C(S8)CC(CCCC)CC)=C6S5)C=CS7)C9=CC(F)=C(S9)CC(CCCC)CC)=C(C(F)=C3C%10=CC=CS%10)F)N=C2C%11=CC=CC(OCCCCCCCC)=C%11)=C1,PBQ7,-5.38,-3.14,0.81,25.83,64.3,13.45,"C. Sun, F. Pan, B. Qiu, S. Qin, S. Chen, Z. Shang, L. Meng, C. Yang, Y. Li, D每A Copolymer Donor Based on Bithienyl Benzodithiophene D-Unit and Monoalkoxy Bifluoroquinoxaline A-Unit for High-Performance Polymer Solar Cells. Chem. Mater. 32, 3254每3261 (2020)."
33,CCCCCCCC1=C(C2=C(C(C3=C(SC(C4=CC=C(S4)C5=CC6=C(C7=C(C(C8=CC(F)=C(S8)CC(CCCC)CC)=C6S5)C=CS7)C9=CC(F)=C(S9)CC(CCCC)CC)=C3C2=O)C%10=CC=CS%10)=O)S1)CC(CCCC)CC,PBTT-F,-5.48,-3.68,0.83,23.9,75.8,15.1,"P. Chao, H. Chen, Y. Zhu, H. Lai, D. Mo, N. Zheng, X. Chang, H. Meng, F. He, A Benzo[1,2-b:4,5-c∩]Dithiophene-4,8-Dione-Based Polymer Donor Achieving an Efficiency Over 16%. Advanced Materials. 32, 1907059 (2020)."
34,CCCCCCCCCCC(CCCCC)OC1=C2C=CSC2=C(C3=CC=C(C4=CC=C(OC(CC)CCCC)C=C4)C=C3)C5=C1SC(C6=CC=C(C7=C8C(C9=C(C=C(SCC(CC)CCCC)C(SCC(CC)CCCC)=C9)C(C8=C(C%10=CC=CS%10)S7)=O)=O)S6)=C5,PBNS,-5.37,-3.63,0.865,12.4,70.83,7.58,"Q. Wang, X. Gao, X. Jing, Y. Li, K. Zhang, F. Li, R. Yang, L. Yu, M. Sun, Naphtho[2,3-c]thiophene-4,9-dione based polymers for efficient fullerene solar cells. Polymer. 212, 123184 (2021)."
35,CCCCCCCCC1=CSC2=C1SC(C3=C4C(N(C(C4=C(S3)C5=CC6=C(C(CCCCCCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(Cl)=C(S%10)C(CCCC)CC)=C8S7)C=CS9)C%11=CC(Cl)=C(S%11)C(CCCC)CC)S5)=O)CC(CCCCCCCC)CCCCCC)=O)=C2,PBDT-Cl,-5.53,-3.64,0.85,25.69,71,15.63,"J. S. Park, G.-U. Kim, D. Lee, S. Lee, B. Ma, S. Cho, B. J. Kim, Importance of Optimal Crystallinity and Hole Mobility of BDT-Based Polymer Donor for Simultaneous Enhancements of Voc, Jsc, and FF in Efficient Nonfullerene Organic Solar Cells. Advanced Functional Materials. 30, 2005787 (2020)."
36,CCCCCCCCC1=CSC2=C1SC(C3=C4C(N(C(C4=C(S3)C5=CC6=C(C(CCCCCCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(F)=C(S%10)C(CCCC)CC)=C8S7)C=CS9)C%11=CC(Cl)=C(S%11)C(CCCC)CC)S5)=O)CC(CCCCCCCC)CCCCCC)=O)=C2,PBDT-F,-5.51,-3.64,0.83,25.36,68,14.86,"J. S. Park, G.-U. Kim, D. Lee, S. Lee, B. Ma, S. Cho, B. J. Kim, Importance of Optimal Crystallinity and Hole Mobility of BDT-Based Polymer Donor for Simultaneous Enhancements of Voc, Jsc, and FF in Efficient Nonfullerene Organic Solar Cells. Advanced Functional Materials. 30, 2005787 (2020)."
37,CCCCCCCCC1=CSC2=C1SC(C3=C4C(N(C(C4=C(S3)C5=CC6=C(C(CCCCCCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC=C(S%10)C(CCCC)CC)=C8S7)C=CS9)C%11=CC=C(S%11)C(CCCC)CC)S5)=O)CC(CCCCCCCC)CCCCCC)=O)=C2,PBDT-H,-5.35,-3.48,0.74,24.91,63,11.58,"J. S. Park, G.-U. Kim, D. Lee, S. Lee, B. Ma, S. Cho, B. J. Kim, Importance of Optimal Crystallinity and Hole Mobility of BDT-Based Polymer Donor for Simultaneous Enhancements of Voc, Jsc, and FF in Efficient Nonfullerene Organic Solar Cells. Advanced Functional Materials. 30, 2005787 (2020)."
38,CCCCC(SC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)SC(CCCC)CC)C6=CC=C(S6)C7=C8C(C9=C(SC(C(CCCC)CC)=C9C(C8=C(S7)C%10=CC=CS%10)=O)C(CCCC)CC)=O)CC,PBDT-ST,-5.43,-3.54,0.915,22.56,69.5,14.35,"X. Xu, K. Feng, Y. W. Lee, H. Y. Woo, G. Zhang, Q. Peng, Subtle Polymer Donor and Molecular Acceptor Design Enable Efficient Polymer Solar Cells with a Very Small Energy Loss. Advanced Functional Materials. 30, 1907570 (2020)."
39,CCCCC(CC)C1=C2C(=O)C3=C(C4=CC=CS4)SC(C4=CC=C(C5=CC6=CC7=C(C=C8C=CSC8=C7C7=CC=C(SC(=O)CCC)S7)C(C7=CC=C(SC(=O)CCC)S7)=C6S5)S4)=C3C(=O)C2=C(C(CC)CCCC)S1,PNDT-ST,-5.47,-3.57,0.896,22.67,67.5,13.72,"X. Xu, K. Feng, Y. W. Lee, H. Y. Woo, G. Zhang, Q. Peng, Subtle Polymer Donor and Molecular Acceptor Design Enable Efficient Polymer Solar Cells with a Very Small Energy Loss. Advanced Functional Materials. 30, 1907570 (2020)."
40,CCCC/C(CC)=C/C1=CC=C(S1)C2=C3SC(C4=C(C(C(OC)=O)=CS4)F)=CC3=C(C5=C2C=CS5)C6=CC=C(S6)CC(CCCC)CC,P1,-5.6,-3.65,1.01,17.89,63.05,11.39,"Y. Tang, H. Sun, Z. Wu, Y. Zhang, G. Zhang, M. Su, X. Zhou, X. Wu, W. Sun, X. Zhang, B. Liu, W. Chen, Q. Liao, H. Y. Woo, X. Guo, A New Wide Bandgap Donor Polymer for Efficient Nonfullerene Organic Solar Cells with a Large Open-Circuit Voltage. Advanced Science. 6, 1901773 (2019)."
41,[H]C1=CC=C(C2=C(N=C(C3=CC=C(OCC(CC)CCCC)C=C3)C(C4=CC=C(OCC(CC)CCCC)C=C4)=N5)C5=C(C6=CC=C(C7=CC(C(CCCCCCCC)(CCCCCCCC)C8=C9C=CC([H])=C8)=C9C=C7)S6)S2)S1,APFO-Green 5,,,0.58,3.67,0.47,1,"Tvingstedt K, Inganas O. Electrode grids for ITO-free organic photovoltaic devices. Advanced Materials 19, 2893-2897 (2007)."
